1	2	0.014	175	0.24	16
1	3	0.211	175	0.51	10
1	5	0.085	175	0.33	10
2	4	0.127	175	0.39	10
2	6	0.192	175	0.48	10
3	9	0.119	175	0.38	10
3	24	0.084	400	0.02	768
4	9	0.104	175	0.36	10
5	10	0.088	175	0.34	10
6	10	0.061	175	0.33	35
7	8	0.061	175	0.3	10
8	9	0.165	175	0.44	10
8	10	0.165	175	0.44	10
9	11	0.084	400	0.02	768
9	12	0.084	400	0.02	768
10	11	0.084	400	0.02	768
10	12	0.084	400	0.02	768
11	13	0.048	500	0.4	11
11	14	0.042	500	0.39	11
12	13	0.048	500	0.4	11
12	23	0.097	500	0.52	11
13	23	0.087	500	0.49	11
14	16	0.059	500	0.38	11
15	16	0.017	500	0.33	11
15	21	0.049	500	0.41	11
15	21	0.049	500	0.41	11
15	24	0.052	500	0.41	11
16	17	0.026	500	0.35	11
16	19	0.023	500	0.34	11
17	18	0.014	500	0.32	11
17	22	0.105	500	0.54	11
18	21	0.026	500	0.35	11
18	21	0.026	500	0.35	11
19	20	0.04	500	0.38	11
19	20	0.04	500	0.38	11
20	23	0.022	500	0.34	11
20	23	0.022	500	0.34	11
21	22	0.068	500	0.45	11
